name,Famous_for,Address,Hear_the_story,latitude,longitude,DIID
Blenheim Palace,,,,51.84157046933766,-1.3609934590611503,
Boughton House,,,,52.58475556,-0.682327134,
Castle Howard,,,,54.12476722,-0.91523026,
Chatsworth House,,,,53.228184,-1.611523,
Christ Church - Spitalfield,,,,51.51964906,-0.073982844,
Dyrham Park,,,,51.48024791,-2.373250617,
Old Royal Naval College,,,,51.48340632,-0.005926131,
Petworth House,,,,50.988133,-0.611358,
St Anne's Limehouse,,,,51.51187893,-0.030579331,
St Paul's Cathedral,,,,51.51403223,-0.098350602,
Seaton Delaval Hall,,,,55.10184518,-1.497967017,
